title,price,url
ماگ سرامیکی فانتزی کلکسیونی کوچک مدل استیج آبی,119000,https://torob.com/p/5feef9da-32a4-46a6-aa0e-9143c8e63984/%D9%85%D8%A7%DA%AF-%D8%B3%D8%B1%D8%A7%D9%85%DB%8C%DA%A9%DB%8C-%D9%81%D8%A7%D9%86%D8%AA%D8%B2%DB%8C-%DA%A9%D9%84%DA%A9%D8%B3%DB%8C%D9%88%D9%86%DB%8C-%DA%A9%D9%88%DA%86%DA%A9-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D8%AA%DB%8C%D8%AC-%D8%A7%D8%A8%DB%8C/
تراول ماگ قفل دار 500 میل,148000,https://torob.com/p/59935e82-4c00-4946-addc-19f420ecff8a/%D8%AA%D8%B1%D8%A7%D9%88%D9%84-%D9%85%D8%A7%DA%AF-%D9%82%D9%81%D9%84-%D8%AF%D8%A7%D8%B1-500-%D9%85%DB%8C%D9%84/
ماگ هیتردار برقی لاکی,188000,https://torob.com/p/fadd7b2b-c703-4ad9-a237-273ec5630f4f/%D9%85%D8%A7%DA%AF-%D9%87%DB%8C%D8%AA%D8%B1%D8%AF%D8%A7%D8%B1-%D8%A8%D8%B1%D9%82%DB%8C-%D9%84%D8%A7%DA%A9%DB%8C/
ماگ حرارتی امیر,125000,https://torob.com/p/ebd02913-91de-449b-97ba-0a77c20d5df9/%D9%85%D8%A7%DA%AF-%D8%AD%D8%B1%D8%A7%D8%B1%D8%AA%DB%8C-%D8%A7%D9%85%DB%8C%D8%B1/
ماگ تپل بزرگ سرامیک دستساز طرح فانتزی توانا سرام,85000,https://torob.com/p/e3cea101-b73d-4664-805e-f4221d204233/%D9%85%D8%A7%DA%AF-%D8%AA%D9%BE%D9%84-%D8%A8%D8%B2%D8%B1%DA%AF-%D8%B3%D8%B1%D8%A7%D9%85%DB%8C%DA%A9-%D8%AF%D8%B3%D8%AA%D8%B3%D8%A7%D8%B2-%D8%B7%D8%B1%D8%AD-%D9%81%D8%A7%D9%86%D8%AA%D8%B2%DB%8C-%D8%AA%D9%88%D8%A7%D9%86%D8%A7-%D8%B3%D8%B1%D8%A7%D9%85/
ماگ داود (با هر اسمی که شما بخواید),125000,https://torob.com/p/911538d5-0f0d-402c-903d-e84099e5ea9f/%D9%85%D8%A7%DA%AF-%D8%AF%D8%A7%D9%88%D8%AF-%D8%A8%D8%A7-%D9%87%D8%B1-%D8%A7%D8%B3%D9%85%DB%8C-%DA%A9%D9%87-%D8%B4%D9%85%D8%A7-%D8%A8%D8%AE%D9%88%D8%A7%DB%8C%D8%AF/
تراول ماگ مدل کافی ظرفیت 500 میلی لیتر سرمه‌ای,194000,https://torob.com/p/2f730f3f-30c5-45cc-977f-88eb5ba51f3f/%D8%AA%D8%B1%D8%A7%D9%88%D9%84-%D9%85%D8%A7%DA%AF-%D9%85%D8%AF%D9%84-%DA%A9%D8%A7%D9%81%DB%8C-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-500-%D9%85%DB%8C%D9%84%DB%8C-%D9%84%DB%8C%D8%AA%D8%B1-%D8%B3%D8%B1%D9%85%D9%87-%D8%A7%DB%8C/
ماگ فانتزی درب دار پاندا(312),210000,https://torob.com/p/8b1e78f3-c7fd-41d3-81f0-f0e7a2d4fa22/%D9%85%D8%A7%DA%AF-%D9%81%D8%A7%D9%86%D8%AA%D8%B2%DB%8C-%D8%AF%D8%B1%D8%A8-%D8%AF%D8%A7%D8%B1-%D9%BE%D8%A7%D9%86%D8%AF%D8%A7-312/
تراولماگ مدل کافی 350 میل,280000,https://torob.com/p/3ffe2330-583d-49df-9bd0-9401e545c975/%D8%AA%D8%B1%D8%A7%D9%88%D9%84%D9%85%D8%A7%DA%AF-%D9%85%D8%AF%D9%84-%DA%A9%D8%A7%D9%81%DB%8C-350-%D9%85%DB%8C%D9%84/
تراول ماگ پاستیلی استارباکس نارنجی گنجایش 380 میلی لیتر,187000,https://torob.com/p/690b83c7-0fd6-4594-8f10-5b92c2641e4f/%D8%AA%D8%B1%D8%A7%D9%88%D9%84-%D9%85%D8%A7%DA%AF-%D9%BE%D8%A7%D8%B3%D8%AA%DB%8C%D9%84%DB%8C-%D8%A7%D8%B3%D8%AA%D8%A7%D8%B1%D8%A8%D8%A7%DA%A9%D8%B3-%D9%86%D8%A7%D8%B1%D9%86%D8%AC%DB%8C-%DA%AF%D9%86%D8%AC%D8%A7%DB%8C%D8%B4-380-%D9%85%DB%8C%D9%84%DB%8C-%D9%84%DB%8C%D8%AA%D8%B1/
